Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Friday, Jun 2",L,29-26,1.0,30140.0,-1,W,29-25,1.0,2.0,0.0,0.5370370370370371,Friday,Jun
"Saturday, Jun 3",L,29-27,1.0,34354.0,-2,L,29-26,1.0,-1.0,0.0,0.5272727272727272,Saturday,Jun
"Sunday, Jun 4",W,30-27,1.0,30330.0,1,L,29-27,1.0,-2.0,0.0,0.5178571428571429,Sunday,Jun
"Monday, Jun 5",L,30-28,1.0,21452.0,-1,W,30-27,1.0,1.0,0.0,0.5263157894736842,Monday,Jun
"Tuesday, Jun 6",W,31-28,1.0,21214.0,1,L,30-28,1.0,-1.0,0.0,0.5172413793103449,Tuesday,Jun
"Wednesday, Jun 7",W,32-28,1.0,20580.0,2,W,31-28,1.0,1.0,0.0,0.5254237288135594,Wednesday,Jun
"Thursday, Jun 8",L,32-29,1.0,23005.0,-1,W,32-28,1.0,2.0,0.0,0.5333333333333333,Thursday,Jun
"Friday, Jun 9",W,33-29,1.0,25009.0,1,L,32-29,1.0,-1.0,0.0,0.5245901639344263,Friday,Jun
"Saturday, Jun 10",L,33-30,1.0,40195.0,-1,W,33-29,1.0,1.0,0.0,0.532258064516129,Saturday,Jun
"Sunday, Jun 11",L,33-31,1.0,30370.0,-2,L,33-30,1.0,-1.0,0.0,0.5238095238095238,Sunday,Jun
"Tuesday, Jun 13 (1)",L,33-32,1.0,40083.0,-3,L,33-31,1.0,-2.0,0.0,0.515625,Tuesday,Jun
"Tuesday, Jun 13 (2)",W,34-32,1.0,40115.0,1,L,33-32,1.0,-3.0,0.0,0.5076923076923077,Tuesday,Jun
"Wednesday, Jun 14",W,35-32,1.0,38061.0,2,W,34-32,1.0,1.0,0.0,0.5151515151515151,Wednesday,Jun
"Thursday, Jun 15",W,36-32,1.0,45228.0,3,W,35-32,1.0,2.0,0.0,0.5223880597014925,Thursday,Jun
"Friday, Jun 16",W,37-32,1.0,31161.0,4,W,36-32,1.0,3.0,0.0,0.5294117647058824,Friday,Jun
"Saturday, Jun 17",L,37-33,1.0,34312.0,-1,W,37-32,1.0,4.0,1.0,0.5362318840579711,Saturday,Jun
"Sunday, Jun 18",W,38-33,1.0,34518.0,1,L,37-33,1.0,-1.0,0.0,0.5285714285714286,Sunday,Jun
"Monday, Jun 19",L,38-34,1.0,25489.0,-1,W,38-33,1.0,1.0,0.0,0.5352112676056338,Monday,Jun
"Tuesday, Jun 20",L,38-35,1.0,23982.0,-2,L,38-34,1.0,-1.0,0.0,0.5277777777777778,Tuesday,Jun
"Wednesday, Jun 21",W,39-35,1.0,25134.0,1,L,38-35,1.0,-2.0,0.0,0.5205479452054794,Wednesday,Jun
"Thursday, Jun 22",W,40-35,1.0,28428.0,2,W,39-35,1.0,1.0,0.0,0.527027027027027,Thursday,Jun
"Friday, Jun 23",L,40-36,1.0,30521.0,-1,W,40-35,1.0,2.0,0.0,0.5333333333333333,Friday,Jun
"Saturday, Jun 24",L,40-37,1.0,38463.0,-2,L,40-36,1.0,-1.0,0.0,0.5263157894736842,Saturday,Jun
"Sunday, Jun 25",W,41-37,1.0,31634.0,1,L,40-37,1.0,-2.0,0.0,0.5194805194805194,Sunday,Jun
"Tuesday, Jun 27",L,41-38,1.0,18577.0,-1,W,41-37,1.0,1.0,0.0,0.5256410256410257,Tuesday,Jun
"Wednesday, Jun 28",L,41-39,1.0,21842.0,-2,L,41-38,1.0,-1.0,0.0,0.5189873417721519,Wednesday,Jun
"Thursday, Jun 29",W,42-39,1.0,20419.0,1,L,41-39,1.0,-2.0,0.0,0.5125,Thursday,Jun
"Friday, Jun 30",W,43-39,1.0,35549.0,2,W,42-39,1.0,1.0,0.0,0.5185185185185185,Friday,Jun
"Saturday, Jul 1",W,44-39,1.0,30712.0,3,W,43-39,1.0,2.0,0.0,0.524390243902439,Saturday,Jul
"Sunday, Jul 2",L,44-40,1.0,33834.0,-1,W,44-39,1.0,3.0,0.0,0.5301204819277109,Sunday,Jul
"Monday, Jul 3",W,45-40,1.0,36457.0,1,L,44-40,1.0,-1.0,0.0,0.5238095238095238,Monday,Jul
"Tuesday, Jul 4",W,46-40,1.0,31818.0,2,W,45-40,1.0,1.0,0.0,0.5294117647058824,Tuesday,Jul
"Wednesday, Jul 5",W,47-40,1.0,27734.0,3,W,46-40,1.0,2.0,0.0,0.5348837209302325,Wednesday,Jul
"Thursday, Jul 6",W,48-40,1.0,41576.0,4,W,47-40,1.0,3.0,0.0,0.5402298850574713,Thursday,Jul
"Friday, Jul 7",W,49-40,1.0,43472.0,5,W,48-40,1.0,4.0,0.0,0.5454545454545454,Friday,Jul
"Saturday, Jul 8",L,49-41,1.0,40224.0,-1,W,49-40,1.0,5.0,0.0,0.550561797752809,Saturday,Jul
"Sunday, Jul 9",W,50-41,1.0,43952.0,1,L,49-41,1.0,-1.0,1.0,0.5444444444444444,Sunday,Jul
"Friday, Jul 14",W,51-41,1.0,41941.0,2,W,50-41,1.0,1.0,0.0,0.5494505494505495,Friday,Jul
"Saturday, Jul 15",W,52-41,1.0,37950.0,3,W,51-41,1.0,2.0,0.0,0.5543478260869565,Saturday,Jul
"Sunday, Jul 16",L,52-42,1.0,41747.0,-1,W,52-41,1.0,3.0,0.0,0.5591397849462365,Sunday,Jul
"Monday, Jul 17",L,52-43,1.0,18506.0,-2,L,52-42,1.0,-1.0,0.0,0.5531914893617021,Monday,Jul
"Tuesday, Jul 18",L,52-44,1.0,20462.0,-3,L,52-43,1.0,-2.0,0.0,0.5473684210526316,Tuesday,Jul
"Wednesday, Jul 19",L,52-45,1.0,24401.0,-4,L,52-44,1.0,-3.0,0.0,0.5416666666666666,Wednesday,Jul
"Thursday, Jul 20",L,52-46,1.0,33493.0,-5,L,52-45,1.0,-4.0,1.0,0.5360824742268041,Thursday,Jul
"Friday, Jul 21",L,52-47,1.0,17550.0,-6,L,52-46,1.0,-5.0,0.0,0.5306122448979592,Friday,Jul
"Saturday, Jul 22",W,53-47,1.0,17712.0,1,L,52-47,1.0,-6.0,0.0,0.5252525252525253,Saturday,Jul
"Sunday, Jul 23",L,53-48,1.0,21258.0,-1,W,53-47,1.0,1.0,0.0,0.53,Sunday,Jul
"Tuesday, Jul 25",W,54-48,1.0,28428.0,1,L,53-48,1.0,-1.0,0.0,0.5247524752475248,Tuesday,Jul
"Wednesday, Jul 26",L,54-49,2.0,35296.0,-1,W,54-48,1.0,1.0,0.0,0.5294117647058824,Wednesday,Jul
"Thursday, Jul 27",L,54-50,2.0,32118.0,-2,L,54-49,2.0,-1.0,0.0,0.5242718446601942,Thursday,Jul
"Friday, Jul 28",W,55-50,2.0,42574.0,1,L,54-50,2.0,-2.0,0.0,0.5192307692307693,Friday,Jul
"Saturday, Jul 29",L,55-51,2.0,44709.0,-1,W,55-50,2.0,1.0,0.0,0.5238095238095238,Saturday,Jul
"Sunday, Jul 30",L,55-52,2.0,44269.0,-2,L,55-51,2.0,-1.0,0.0,0.5188679245283019,Sunday,Jul
"Tuesday, Aug 1",W,56-52,2.0,30150.0,1,L,55-52,2.0,-2.0,0.0,0.514018691588785,Tuesday,Aug
"Wednesday, Aug 2",L,56-53,2.0,34433.0,-1,W,56-52,2.0,1.0,0.0,0.5185185185185185,Wednesday,Aug
"Thursday, Aug 3",W,57-53,2.0,40170.0,1,L,56-53,2.0,-1.0,0.0,0.5137614678899083,Thursday,Aug
"Friday, Aug 4",W,58-53,2.0,21164.0,2,W,57-53,2.0,1.0,0.0,0.5181818181818182,Friday,Aug
"Saturday, Aug 5",W,59-53,2.0,15849.0,3,W,58-53,2.0,2.0,0.0,0.5225225225225225,Saturday,Aug
"Sunday, Aug 6",L,59-54,2.0,12129.0,-1,W,59-53,2.0,3.0,0.0,0.5267857142857143,Sunday,Aug
"Monday, Aug 7",L,59-55,2.0,31339.0,-2,L,59-54,2.0,-1.0,1.0,0.5221238938053098,Monday,Aug
"Tuesday, Aug 8",L,59-56,2.0,34185.0,-3,L,59-55,2.0,-2.0,0.0,0.5175438596491229,Tuesday,Aug
"Wednesday, Aug 9",L,59-57,2.0,30174.0,-4,L,59-56,2.0,-3.0,0.0,0.5130434782608696,Wednesday,Aug
"Thursday, Aug 10",L,59-58,3.0,33904.0,-5,L,59-57,2.0,-4.0,0.0,0.5086206896551724,Thursday,Aug
"Friday, Aug 11",L,59-59,3.0,34517.0,-6,L,59-58,3.0,-5.0,0.0,0.5042735042735043,Friday,Aug
"Saturday, Aug 12",W,60-59,3.0,38256.0,1,L,59-59,3.0,-6.0,0.0,0.5,Saturday,Aug
"Sunday, Aug 13",W,61-59,3.0,43248.0,2,W,60-59,3.0,1.0,1.0,0.5042016806722689,Sunday,Aug
"Tuesday, Aug 15",W,62-59,2.0,32605.0,3,W,61-59,3.0,2.0,0.0,0.5083333333333333,Tuesday,Aug
"Wednesday, Aug 16",W,63-59,2.0,32439.0,4,W,62-59,2.0,3.0,0.0,0.512396694214876,Wednesday,Aug
"Friday, Aug 18",L,63-60,3.0,32385.0,-1,W,63-59,2.0,4.0,0.0,0.5163934426229508,Friday,Aug
"Saturday, Aug 19",W,64-60,2.0,47216.0,1,L,63-60,3.0,-1.0,0.0,0.5121951219512195,Saturday,Aug
"Sunday, Aug 20",W,65-60,2.0,32426.0,2,W,64-60,2.0,1.0,0.0,0.5161290322580645,Sunday,Aug
"Monday, Aug 21",L,65-61,2.0,39341.0,-1,W,65-60,2.0,2.0,0.0,0.52,Monday,Aug
"Tuesday, Aug 22",W,66-61,2.0,39523.0,1,L,65-61,2.0,-1.0,0.0,0.5158730158730159,Tuesday,Aug
"Wednesday, Aug 23",L,66-62,2.0,40015.0,-1,W,66-61,2.0,1.0,0.0,0.5196850393700787,Wednesday,Aug
"Friday, Aug 25",L,66-63,2.0,52455.0,-2,L,66-62,2.0,-1.0,0.0,0.515625,Friday,Aug
"Saturday, Aug 26",W,67-63,2.0,52345.0,1,L,66-63,2.0,-2.0,0.0,0.5116279069767442,Saturday,Aug
"Sunday, Aug 27",W,68-63,2.0,51355.0,2,W,67-63,2.0,1.0,0.0,0.5153846153846153,Sunday,Aug
"Tuesday, Aug 29",L,68-64,2.0,31985.0,-1,W,68-63,2.0,2.0,0.0,0.5190839694656488,Tuesday,Aug
"Wednesday, Aug 30",W,69-64,2.0,28964.0,1,L,68-64,2.0,-1.0,0.0,0.5151515151515151,Wednesday,Aug
"Thursday, Aug 31",W,70-64,2.0,26384.0,2,W,69-64,2.0,1.0,0.0,0.518796992481203,Thursday,Aug
"Friday, Sep 1",W,71-64,2.0,40044.0,3,W,70-64,2.0,2.0,0.0,0.5223880597014925,Friday,Sep
"Saturday, Sep 2",L,71-65,2.0,35341.0,-1,W,71-64,2.0,3.0,0.0,0.5259259259259259,Saturday,Sep
"Sunday, Sep 3",W,72-65,2.0,36937.0,1,L,71-65,2.0,-1.0,0.0,0.5220588235294118,Sunday,Sep
"Monday, Sep 4",L,72-66,2.0,22403.0,-1,W,72-65,2.0,1.0,0.0,0.5255474452554745,Monday,Sep
"Tuesday, Sep 5",L,72-67,2.0,12135.0,-2,L,72-66,2.0,-1.0,1.0,0.5217391304347826,Tuesday,Sep
"Wednesday, Sep 6",L,72-68,3.0,12626.0,-3,L,72-67,2.0,-2.0,0.0,0.5179856115107914,Wednesday,Sep
"Friday, Sep 8",W,73-68,2.0,41020.0,1,L,72-68,3.0,-3.0,0.0,0.5142857142857142,Friday,Sep
"Saturday, Sep 9",W,74-68,2.0,41167.0,2,W,73-68,2.0,1.0,0.0,0.5177304964539007,Saturday,Sep
"Sunday, Sep 10",W,75-68,2.0,40113.0,3,W,74-68,2.0,2.0,0.0,0.5211267605633803,Sunday,Sep
"Monday, Sep 11",L,75-69,3.0,27422.0,-1,W,75-68,2.0,3.0,0.0,0.5244755244755245,Monday,Sep
"Tuesday, Sep 12",W,76-69,3.0,30331.0,1,L,75-69,3.0,-1.0,0.0,0.5208333333333334,Tuesday,Sep
"Wednesday, Sep 13",W,77-69,2.0,27436.0,2,W,76-69,3.0,1.0,0.0,0.5241379310344828,Wednesday,Sep
"Friday, Sep 15",W,78-69,2.0,19369.0,3,W,77-69,2.0,2.0,0.0,0.5273972602739726,Friday,Sep
"Saturday, Sep 16",L,78-70,2.0,25079.0,-1,W,78-69,2.0,3.0,0.0,0.5306122448979592,Saturday,Sep
"Sunday, Sep 17",W,79-70,2.0,24535.0,1,L,78-70,2.0,-1.0,0.0,0.527027027027027,Sunday,Sep
"Monday, Sep 18",W,80-70,2.0,16283.0,2,W,79-70,2.0,1.0,0.0,0.5302013422818792,Monday,Sep
"Tuesday, Sep 19",W,81-70,2.0,13929.0,3,W,80-70,2.0,2.0,0.0,0.5333333333333333,Tuesday,Sep
"Wednesday, Sep 20",L,81-71,2.0,15741.0,-1,W,81-70,2.0,3.0,0.0,0.5364238410596026,Wednesday,Sep
"Thursday, Sep 21",L,81-72,2.0,35114.0,-2,L,81-71,2.0,-1.0,1.0,0.5328947368421053,Thursday,Sep
"Friday, Sep 22",L,81-73,3.0,40116.0,-3,L,81-72,2.0,-2.0,0.0,0.5294117647058824,Friday,Sep
"Saturday, Sep 23",W,82-73,2.0,44067.0,1,L,81-73,3.0,-3.0,0.0,0.525974025974026,Saturday,Sep
"Sunday, Sep 24",L,82-74,2.0,42212.0,-1,W,82-73,2.0,1.0,1.0,0.5290322580645161,Sunday,Sep
"Tuesday, Sep 26",W,83-74,2.0,30079.0,1,L,82-74,2.0,-1.0,0.0,0.5256410256410257,Tuesday,Sep
"Wednesday, Sep 27",L,83-75,2.0,34882.0,-1,W,83-74,2.0,1.0,0.0,0.5286624203821656,Wednesday,Sep
"Thursday, Sep 28",W,84-75,2.0,30293.0,1,L,83-75,2.0,-1.0,0.0,0.5253164556962026,Thursday,Sep
"Friday, Sep 29",W,85-75,2.0,44815.0,2,W,84-75,2.0,1.0,0.0,0.5283018867924528,Friday,Sep
"Saturday, Sep 30",L,85-76,2.0,42246.0,-1,W,85-75,2.0,2.0,0.0,0.53125,Saturday,Sep
"Sunday, Oct 1",W,86-76,2.0,44787.0,1,L,85-76,2.0,-1.0,0.0,0.5279503105590062,Sunday,Oct
"Thursday, Mar 29",W,1-0,1.0,44649.0,1,,0-0,,,,,Thursday,Mar
"Friday, Mar 30",W,2-0,1.0,31513.0,2,W,1-0,1.0,1.0,0.0,1.0,Friday,Mar
"Saturday, Mar 31",W,3-0,1.0,35106.0,3,W,2-0,1.0,2.0,0.0,1.0,Saturday,Mar
"Monday, Apr 2",L,3-1,2.0,45393.0,-1,W,3-0,1.0,3.0,0.0,1.0,Monday,Apr
"Tuesday, Apr 3",W,4-1,2.0,27760.0,1,L,3-1,2.0,-1.0,0.0,0.75,Tuesday,Apr
"Wednesday, Apr 4",L,4-2,2.0,27674.0,-1,W,4-1,2.0,1.0,1.0,0.8,Wednesday,Apr
"Thursday, Apr 5",L,4-3,2.0,24310.0,-2,L,4-2,2.0,-1.0,0.0,0.6666666666666666,Thursday,Apr
"Friday, Apr 6",W,5-3,2.0,37758.0,1,L,4-3,2.0,-2.0,0.0,0.5714285714285714,Friday,Apr
"Saturday, Apr 7",L,5-4,2.0,43331.0,-1,W,5-3,2.0,1.0,1.0,0.625,Saturday,Apr
"Sunday, Apr 8",L,5-5,3.0,39282.0,-2,L,5-4,2.0,-1.0,0.0,0.5555555555555556,Sunday,Apr
"Monday, Apr 9",W,6-5,2.0,35189.0,1,L,5-5,3.0,-2.0,0.0,0.5,Monday,Apr
"Tuesday, Apr 10",L,6-6,2.0,35220.0,-1,W,6-5,2.0,1.0,0.0,0.5454545454545454,Tuesday,Apr
"Wednesday, Apr 11",W,7-6,2.0,35814.0,1,L,6-6,2.0,-1.0,1.0,0.5,Wednesday,Apr
"Friday, Apr 13",L,7-7,2.0,34921.0,-1,W,7-6,2.0,1.0,0.0,0.5384615384615384,Friday,Apr
"Saturday, Apr 14",W,8-7,2.0,40965.0,1,L,7-7,2.0,-1.0,0.0,0.5,Saturday,Apr
"Sunday, Apr 15",L,8-8,3.0,26035.0,-1,W,8-7,2.0,1.0,0.0,0.5333333333333333,Sunday,Apr
"Monday, Apr 16",L,8-9,4.0,28677.0,-2,L,8-8,3.0,-1.0,1.0,0.5,Monday,Apr
"Tuesday, Apr 17",W,9-9,3.0,31345.0,1,L,8-9,4.0,-2.0,0.0,0.47058823529411764,Tuesday,Apr
"Wednesday, Apr 18",W,10-9,3.0,27343.0,2,W,9-9,3.0,1.0,0.0,0.5,Wednesday,Apr
"Thursday, Apr 19",W,11-9,2.0,26087.0,3,W,10-9,3.0,2.0,0.0,0.5263157894736842,Thursday,Apr
"Friday, Apr 20",W,12-9,2.0,28233.0,4,W,11-9,2.0,3.0,0.0,0.55,Friday,Apr
"Saturday, Apr 21",W,13-9,1.0,37175.0,5,W,12-9,2.0,4.0,0.0,0.5714285714285714,Saturday,Apr
"Sunday, Apr 22",W,14-9,1.0,37015.0,6,W,13-9,1.0,5.0,1.0,0.5909090909090909,Sunday,Apr
"Tuesday, Apr 24",W,15-9,1.0,16555.0,7,W,14-9,1.0,6.0,0.0,0.6086956521739131,Tuesday,Apr
"Wednesday, Apr 25",W,16-9,1.0,13389.0,8,W,15-9,1.0,7.0,0.0,0.625,Wednesday,Apr
"Thursday, Apr 26",L,16-10,1.0,37197.0,-1,W,16-9,1.0,8.0,0.0,0.64,Thursday,Apr
"Friday, Apr 27",L,16-11,1.0,35579.0,-2,L,16-10,1.0,-1.0,0.0,0.6153846153846154,Friday,Apr
"Saturday, Apr 28",L,16-12,2.0,40147.0,-3,L,16-11,1.0,-2.0,0.0,0.5925925925925926,Saturday,Apr
"Sunday, Apr 29",L,16-13,3.0,40895.0,-4,L,16-12,2.0,-3.0,0.0,0.5714285714285714,Sunday,Apr
"Monday, Apr 30",W,17-13,3.0,9536.0,1,L,16-13,3.0,-4.0,0.0,0.5517241379310345,Monday,Apr
"Tuesday, May 1",W,18-13,1.0,12933.0,2,W,17-13,3.0,1.0,0.0,0.5666666666666667,Tuesday,May
"Wednesday, May 2",W,19-13,1.0,10346.0,3,W,18-13,1.0,2.0,0.0,0.5806451612903226,Wednesday,May
"Friday, May 4",L,19-14,2.0,32869.0,-1,W,19-13,1.0,3.0,0.0,0.59375,Friday,May
"Saturday, May 5",W,20-14,2.0,32720.0,1,L,19-14,2.0,-1.0,0.0,0.5757575757575758,Saturday,May
"Sunday, May 6",L,20-15,2.0,38285.0,-1,W,20-14,2.0,1.0,0.0,0.5882352941176471,Sunday,May
"Tuesday, May 8",W,21-15,1.0,35314.0,1,L,20-15,2.0,-1.0,0.0,0.5714285714285714,Tuesday,May
"Wednesday, May 9",L,21-16,2.0,26345.0,-1,W,21-15,1.0,1.0,0.0,0.5833333333333334,Wednesday,May
"Thursday, May 10",W,22-16,2.0,31093.0,1,L,21-16,2.0,-1.0,0.0,0.5675675675675675,Thursday,May
"Friday, May 11",W,23-16,2.0,36139.0,2,W,22-16,2.0,1.0,0.0,0.5789473684210527,Friday,May
"Saturday, May 12",L,23-17,3.0,35408.0,-1,W,23-16,2.0,2.0,0.0,0.5897435897435898,Saturday,May
"Sunday, May 13",W,24-17,1.0,40453.0,1,L,23-17,3.0,-1.0,0.0,0.575,Sunday,May
"Monday, May 14",W,25-17,1.0,17390.0,2,W,24-17,1.0,1.0,0.0,0.5853658536585366,Monday,May
"Tuesday, May 15",L,25-18,1.0,17914.0,-1,W,25-17,1.0,2.0,0.0,0.5952380952380952,Tuesday,May
"Wednesday, May 16",W,26-18,1.0,16762.0,1,L,25-18,1.0,-1.0,0.0,0.5813953488372093,Wednesday,May
"Friday, May 18",W,27-18,1.0,29349.0,2,W,26-18,1.0,1.0,0.0,0.5909090909090909,Friday,May
"Saturday, May 19",W,28-18,1.0,30182.0,3,W,27-18,1.0,2.0,0.0,0.6,Saturday,May
"Sunday, May 20",L,28-19,1.0,28577.0,-1,W,28-18,1.0,3.0,0.0,0.6086956521739131,Sunday,May
"Monday, May 21",W,29-19,1.0,27094.0,1,L,28-19,1.0,-1.0,0.0,0.5957446808510638,Monday,May
"Tuesday, May 22",W,30-19,1.0,27065.0,2,W,29-19,1.0,1.0,0.0,0.6041666666666666,Tuesday,May
"Wednesday, May 23",W,31-19,1.0,29237.0,3,W,30-19,1.0,2.0,0.0,0.6122448979591837,Wednesday,May
"Thursday, May 24",L,31-20,1.0,33803.0,-1,W,31-19,1.0,3.0,0.0,0.62,Thursday,May
"Friday, May 25",W,32-20,1.0,28286.0,1,L,31-20,1.0,-1.0,0.0,0.6078431372549019,Friday,May
"Saturday, May 26",W,33-20,1.0,37258.0,2,W,32-20,1.0,1.0,1.0,0.6153846153846154,Saturday,May
"Sunday, May 27",W,34-20,1.0,39715.0,3,W,33-20,1.0,2.0,0.0,0.6226415094339622,Sunday,May
"Monday, May 28",W,35-20,1.0,42867.0,4,W,34-20,1.0,3.0,0.0,0.6296296296296297,Monday,May
"Tuesday, May 29",L,35-21,1.0,40982.0,-1,W,35-20,1.0,4.0,0.0,0.6363636363636364,Tuesday,May
"Wednesday, May 30",W,36-21,1.0,33133.0,1,L,35-21,1.0,-1.0,0.0,0.625,Wednesday,May
"Friday, Jun 1",L,36-22,1.0,20004.0,-1,W,36-21,1.0,1.0,0.0,0.631578947368421,Friday,Jun
"Saturday, Jun 2",W,37-22,1.0,29281.0,1,L,36-22,1.0,-1.0,0.0,0.6206896551724138,Saturday,Jun
"Sunday, Jun 3",L,37-23,1.0,25338.0,-1,W,37-22,1.0,1.0,0.0,0.6271186440677966,Sunday,Jun
"Tuesday, Jun 5",L,37-24,1.0,22330.0,-2,L,37-23,1.0,-1.0,0.0,0.6166666666666667,Tuesday,Jun
"Wednesday, Jun 6",L,37-25,1.0,21315.0,-3,L,37-24,1.0,-2.0,0.0,0.6065573770491803,Wednesday,Jun
"Friday, Jun 8",W,38-25,1.0,22196.0,1,L,37-25,1.0,-3.0,0.0,0.5967741935483871,Friday,Jun
"Saturday, Jun 9",W,39-25,1.0,25304.0,2,W,38-25,1.0,1.0,0.0,0.6031746031746031,Saturday,Jun
"Sunday, Jun 10",L,39-26,1.0,31175.0,-1,W,39-25,1.0,2.0,0.0,0.609375,Sunday,Jun
"Monday, Jun 11",L,39-27,2.0,37578.0,-2,L,39-26,1.0,-1.0,0.0,0.6,Monday,Jun
"Tuesday, Jun 12",W,40-27,1.0,35459.0,1,L,39-27,2.0,-2.0,0.0,0.5909090909090909,Tuesday,Jun
"Wednesday, Jun 13",W,41-27,1.0,39822.0,2,W,40-27,1.0,1.0,0.0,0.5970149253731343,Wednesday,Jun
"Friday, Jun 15",W,42-27,1.0,40945.0,3,W,41-27,1.0,2.0,0.0,0.6029411764705882,Friday,Jun
"Saturday, Jun 16",L,42-28,1.0,40531.0,-1,W,42-27,1.0,3.0,0.0,0.6086956521739131,Saturday,Jun
"Sunday, Jun 17",L,42-29,1.0,40985.0,-2,L,42-28,1.0,-1.0,0.0,0.6,Sunday,Jun
"Monday, Jun 18",L,42-30,1.0,10672.0,-3,L,42-29,1.0,-2.0,0.0,0.5915492957746479,Monday,Jun
"Tuesday, Jun 19",W,43-30,1.0,14152.0,1,L,42-30,1.0,-3.0,0.0,0.5833333333333334,Tuesday,Jun
"Thursday, Jun 21",W,44-30,1.0,32764.0,2,W,43-30,1.0,1.0,0.0,0.589041095890411,Thursday,Jun
"Friday, Jun 22",W,45-30,1.0,36275.0,3,W,44-30,1.0,2.0,0.0,0.5945945945945946,Friday,Jun
"Saturday, Jun 23",L,45-31,1.0,35551.0,-1,W,45-30,1.0,3.0,1.0,0.6,Saturday,Jun
"Sunday, Jun 24",L,45-32,1.0,39710.0,-2,L,45-31,1.0,-1.0,0.0,0.5921052631578947,Sunday,Jun
"Tuesday, Jun 26",W,46-32,1.0,34412.0,1,L,45-32,1.0,-2.0,0.0,0.5844155844155844,Tuesday,Jun
"Wednesday, Jun 27",L,46-33,1.0,38436.0,-1,W,46-32,1.0,1.0,0.0,0.5897435897435898,Wednesday,Jun
"Thursday, Jun 28",W,47-33,1.0,20347.0,1,L,46-33,1.0,-1.0,0.0,0.5822784810126582,Thursday,Jun
"Friday, Jun 29",W,48-33,1.0,26130.0,2,W,47-33,1.0,1.0,0.0,0.5875,Friday,Jun
"Saturday, Jun 30",L,48-34,1.0,24640.0,-1,W,48-33,1.0,2.0,0.0,0.5925925925925926,Saturday,Jun
"Sunday, Jul 1",L,48-35,1.0,18483.0,-2,L,48-34,1.0,-1.0,0.0,0.5853658536585366,Sunday,Jul
"Monday, Jul 2",W,49-35,1.0,31353.0,1,L,48-35,1.0,-2.0,0.0,0.5783132530120482,Monday,Jul
"Tuesday, Jul 3",W,50-35,1.0,32375.0,2,W,49-35,1.0,1.0,1.0,0.5833333333333334,Tuesday,Jul
"Wednesday, Jul 4",W,51-35,1.0,36700.0,3,W,50-35,1.0,2.0,0.0,0.5882352941176471,Wednesday,Jul
"Thursday, Jul 5",W,52-35,1.0,27557.0,4,W,51-35,1.0,3.0,0.0,0.5930232558139535,Thursday,Jul
"Friday, Jul 6",W,53-35,1.0,31452.0,5,W,52-35,1.0,4.0,0.0,0.5977011494252874,Friday,Jul
"Saturday, Jul 7",L,53-36,1.0,38813.0,-1,W,53-35,1.0,5.0,0.0,0.6022727272727273,Saturday,Jul
"Sunday, Jul 8",W,54-36,1.0,43262.0,1,L,53-36,1.0,-1.0,0.0,0.5955056179775281,Sunday,Jul
"Monday, Jul 9",L,54-37,1.0,5996.0,-1,W,54-36,1.0,1.0,0.0,0.6,Monday,Jul
"Tuesday, Jul 10",W,55-37,1.0,5624.0,1,L,54-37,1.0,-1.0,1.0,0.5934065934065934,Tuesday,Jul
"Wednesday, Jul 11",L,55-38,1.0,5265.0,-1,W,55-37,1.0,1.0,0.0,0.5978260869565217,Wednesday,Jul
"Thursday, Jul 12",L,55-39,1.0,17858.0,-2,L,55-38,1.0,-1.0,1.0,0.5913978494623656,Thursday,Jul
"Friday, Jul 13",L,55-40,1.0,21431.0,-3,L,55-39,1.0,-2.0,0.0,0.5851063829787234,Friday,Jul
"Saturday, Jul 14 (2)",L,55-42,2.0,24474.0,-5,L,55-40,1.0,-3.0,0.0,0.5789473684210527,Saturday,Jul
"Sunday, Jul 15",L,55-43,2.0,17583.0,-6,L,55-42,2.0,-5.0,0.0,0.5670103092783505,Sunday,Jul
"Friday, Jul 20",L,55-44,2.0,36812.0,-7,L,55-43,2.0,-6.0,1.0,0.5612244897959183,Friday,Jul
"Saturday, Jul 21",W,56-44,2.0,36242.0,1,L,55-44,2.0,-7.0,0.0,0.5555555555555556,Saturday,Jul
"Sunday, Jul 22",L,56-45,2.0,38249.0,-1,W,56-44,2.0,1.0,0.0,0.56,Sunday,Jul
"Monday, Jul 23",W,57-45,2.0,26073.0,1,L,56-45,2.0,-1.0,0.0,0.5544554455445545,Monday,Jul
"Tuesday, Jul 24",W,58-45,2.0,33990.0,2,W,57-45,2.0,1.0,0.0,0.5588235294117647,Tuesday,Jul
"Wednesday, Jul 25",L,58-46,2.0,37586.0,-1,W,58-45,2.0,2.0,1.0,0.5631067961165048,Wednesday,Jul
"Thursday, Jul 26",W,59-46,2.0,40643.0,1,L,58-46,2.0,-1.0,0.0,0.5576923076923077,Thursday,Jul
"Friday, Jul 27",W,60-46,2.0,40414.0,2,W,59-46,2.0,1.0,0.0,0.5619047619047619,Friday,Jul
"Saturday, Jul 28",W,61-46,2.0,40735.0,3,W,60-46,2.0,2.0,0.0,0.5660377358490566,Saturday,Jul
"Sunday, Jul 29",L,61-47,2.0,41312.0,-1,W,61-46,2.0,3.0,0.0,0.5700934579439252,Sunday,Jul
